id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401403971,UCLA,45,Bowling Green,17,William Hill (New Jersey),56.5,-24,UCLA -24,,,,
401403971,UCLA,45,Bowling Green,17,consensus,56.5,-24,UCLA -24,,,,
401403971,UCLA,45,Bowling Green,17,teamrankings,56.5,-24,UCLA -24,,,,
401404056,Kansas State,34,South Dakota,0,Bovada,50.0,-27.0,Kansas State -27.0,-25.0,47.5,,
401404056,Kansas State,34,South Dakota,0,William Hill (New Jersey),50.5,-27,Kansas State -27,,,,
401404056,Kansas State,34,South Dakota,0,consensus,50.5,-27,Kansas State -27,,,,
401404147,Connecticut,28,Central Connecticut,3,Bovada,51.0,-21.0,Connecticut -21.0,-20.0,51.5,,
401404147,Connecticut,28,Central Connecticut,3,William Hill (New Jersey),51,-20.5,Connecticut -20.5,,,,
401404147,Connecticut,28,Central Connecticut,3,consensus,51.5,-20.5,Connecticut -20.5,,,,
401426541,Oklahoma,45,UTEP,13,Bovada,58.5,-31.0,Oklahoma -31.0,-37.0,56.5,,
401426541,Oklahoma,45,UTEP,13,William Hill (New Jersey),58,-31,Oklahoma -31,,,,
401426541,Oklahoma,45,UTEP,13,consensus,58,-31,Oklahoma -31,,,,
401426541,Oklahoma,45,UTEP,13,teamrankings,58,-31,Oklahoma -31,,,,
401426542,UT San Antonio,35,Houston,37,Bovada,62.0,4.0,Houston -4.0,6.5,59.0,165,-195
401426542,UT San Antonio,35,Houston,37,William Hill (New Jersey),62,3.5,Houston -3.5,,,,
401426542,UT San Antonio,35,Houston,37,consensus,62,3.5,Houston -3.5,,,,
401426542,UT San Antonio,35,Houston,37,teamrankings,61.5,3.5,Houston -3.5,,,,
401403982,Utah,73,Southern Utah,7,William Hill (New Jersey),58.5,-45.5,Utah -45.5,,,,
401403982,Utah,73,Southern Utah,7,consensus,58.5,-45.5,Utah -45.5,,,,
401403977,Air Force,41,Colorado,10,Bovada,50.0,-17.5,Air Force -17.5,-16.0,45.5,-900,575
401403977,Air Force,41,Colorado,10,William Hill (New Jersey),50,-17.5,Air Force -17.5,,,,
401403977,Air Force,41,Colorado,10,consensus,50,-17.5,Air Force -17.5,,,,
401403977,Air Force,41,Colorado,10,teamrankings,50,-17.5,Air Force -17.5,,,,
401403976,California,20,UNLV,14,Bovada,49.5,-12.5,California -12.5,-13.0,50.5,-480,350
401403976,California,20,UNLV,14,William Hill (New Jersey),49.5,-12.5,California -12.5,,,,
401403976,California,20,UNLV,14,consensus,49.5,-12.5,California -12.5,,,,
401403976,California,20,UNLV,14,teamrankings,49.5,-12,California -12,,,,
401403981,UCLA,45,Alabama State,7,William Hill (New Jersey),62.5,-48.5,UCLA -48.5,,,,
401403981,UCLA,45,Alabama State,7,consensus,61.5,-48.5,UCLA -48.5,,,,
401403984,Wisconsin,14,Washington State,17,Bovada,49.0,-17.5,Wisconsin -17.5,-17.0,46.5,-1000,625
401403984,Wisconsin,14,Washington State,17,William Hill (New Jersey),49,-17.5,Wisconsin -17.5,,,,
401403984,Wisconsin,14,Washington State,17,consensus,49,-17.5,Wisconsin -17.5,,,,
401403984,Wisconsin,14,Washington State,17,teamrankings,48.5,-17.5,Wisconsin -17.5,,,,
401404125,Notre Dame,21,Marshall,26,Bovada,48.5,-21.0,Notre Dame -21.0,-19.0,52.0,-1800,850
401404125,Notre Dame,21,Marshall,26,William Hill (New Jersey),48,-20.5,Notre Dame -20.5,,,,
401404125,Notre Dame,21,Marshall,26,consensus,48,-20.5,Notre Dame -20.5,,,,
401404125,Notre Dame,21,Marshall,26,teamrankings,48,-20.5,Notre Dame -20.5,,,,
401404063,Texas Tech,33,Houston,30,Bovada,62.5,-4.0,Texas Tech -4.0,-3.0,65.5,-165,140
401404063,Texas Tech,33,Houston,30,William Hill (New Jersey),62,-4,Texas Tech -4,,,,
401404063,Texas Tech,33,Houston,30,consensus,62,-4,Texas Tech -4,,,,
401404063,Texas Tech,33,Houston,30,teamrankings,62.5,-3.5,Texas Tech -3.5,,,,
401404064,Iowa,7,Iowa State,10,Bovada,38.5,-3.5,Iowa -3.5,-3.5,41.5,-175,150
401404064,Iowa,7,Iowa State,10,William Hill (New Jersey),39,-3.5,Iowa -3.5,,,,
401404064,Iowa,7,Iowa State,10,consensus,39,-3.5,Iowa -3.5,,,,
401404064,Iowa,7,Iowa State,10,teamrankings,39,-3.5,Iowa -3.5,,,,
401405070,Illinois,24,Virginia,3,Bovada,55.0,-3.5,Illinois -3.5,-3.5,56.5,-175,150
401405070,Illinois,24,Virginia,3,William Hill (New Jersey),55,-4,Illinois -4,,,,
401405070,Illinois,24,Virginia,3,consensus,55,-4,Illinois -4,,,,
401405070,Illinois,24,Virginia,3,teamrankings,55,-4,Illinois -4,,,,
401404065,West Virginia,42,Kansas,55,Bovada,60.0,-14.0,West Virginia -14.0,-13.5,57.5,-525,375
401404065,West Virginia,42,Kansas,55,William Hill (New Jersey),60,-14,West Virginia -14,,,,
401404065,West Virginia,42,Kansas,55,consensus,59.5,-14,West Virginia -14,,,,
401404065,West Virginia,42,Kansas,55,teamrankings,59.5,-14,West Virginia -14,,,,
401404066,Oklahoma,33,Kent State,3,Bovada,73.0,-33.5,Oklahoma -33.5,-32.0,71.0,,
401404066,Oklahoma,33,Kent State,3,William Hill (New Jersey),72.5,-33,Oklahoma -33,,,,
401404066,Oklahoma,33,Kent State,3,consensus,72.5,-33,Oklahoma -33,,,,
401404066,Oklahoma,33,Kent State,3,teamrankings,73,-33.5,Oklahoma -33.5,,,,
401405071,Minnesota,62,Western Illinois,10,William Hill (New Jersey),58,-41,Minnesota -41,,,,
401405071,Minnesota,62,Western Illinois,10,consensus,56.5,-41,Minnesota -41,,,,
