Run,Parameter,Epoch_Stop,Fitness,Solution_Found
7,3.8,999,1.5292668110199384e-08,False
7,3.9,999,4.08064172845675e-07,False
7,4.0,999,5.945314611772818e-07,False
8,0.1,109,2.186496413137571e-13,True
8,0.2,144,4.472073623030937e-24,True
8,0.3,155,9.431284116716073e-15,True
8,0.4,419,4.437342591868191e-31,True
8,0.5,446,3.0337215006703074e-23,True
8,0.6,112,2.795652045638087e-13,True
8,0.7,482,1.1835004059714013e-25,True
8,0.8,348,2.227158209500155e-17,True
8,0.9,253,3.717501644312468e-12,True
8,1.0,441,1.5387325048748146e-14,True
8,1.1,233,8.559656808951597e-14,True
8,1.2,558,2.912494183598606e-26,True
8,1.3,783,5.263204019888286e-16,True
8,1.4,415,8.60358524504813e-25,True
8,1.5,428,3.792428468960182e-23,True
8,1.6,481,1.3020260174237597e-26,True
8,1.7,348,1.8152145489346313e-24,True
8,1.8,582,3.185814765735056e-27,True
8,1.9,587,5.592263702901893e-19,True
8,2.0,525,1.381253943562806e-22,True
8,2.1,481,3.5742779200873606e-22,True
8,2.2,720,9.828023587695976e-27,True
8,2.3,452,9.145797969024477e-22,True
8,2.4,552,1.2172092718192198e-20,True
8,2.5,877,3.4397945738872665e-23,True
8,2.6,658,1.5490359190035996e-24,True
8,2.7,776,1.0302206349406322e-23,True
8,2.8,724,1.2104843793106175e-25,True
8,2.9,999,1.3521187342091005e-24,True
8,3.0,999,3.187117495564319e-23,True
8,3.1,999,1.4395689799514843e-17,True
8,3.2,999,5.919211118374465e-19,True
8,3.3,999,7.151415904792677e-16,True
8,3.4,999,1.855667111246306e-10,False
8,3.5,999,1.2681369265692935e-11,True
8,3.6,999,3.5659988300970024e-11,True
8,3.7,999,2.120201706944566e-10,False
8,3.8,999,4.1252893277926956e-08,False
8,3.9,999,9.259388719626298e-08,False
8,4.0,999,8.653116782550778e-06,False
9,0.1,82,6.2826508219626535e-12,True
9,0.2,93,2.4691382856010207e-14,True
9,0.3,144,3.414239707724363e-14,True
9,0.4,262,1.4345254953761305e-20,True
9,0.5,237,1.715525475766719e-20,True
9,0.6,239,1.8742074087529034e-20,True
9,0.7,229,2.395143877385004e-15,True
9,0.8,305,2.5430655692571563e-16,True
