Your Name
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1675738004


Experiment #:,0
Rule:,0444131311323
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9806966299183735,2.199687794731328,,
1,7,,0.848,0.8461538461538461,2.2850230620863226,2.2954656791802917,,
2,4,,0.728,0.7692307692307692,2.2916089008722675,2.295465679180292,,
3,10,,0.6799999999999999,0.6923076923076923,2.2615281767688815,2.2577560641285177,,
4,1,,0.656,0.6153846153846154,2.240313564626946,2.1920058354921066,,
5,6,,0.504,0.5384615384615384,1.8451757654745555,2.045841640885174,,
6,5,,0.36,0.46153846153846156,1.4522933817080577,1.8810947601100747,,
7,3,,0.28,0.3846153846153846,1.2499473806695929,1.7004397181410922,,
8,9,,0.19999999999999996,0.3076923076923077,0.8747509057981678,1.3520301017579528,,
9,11,,0.17600000000000005,0.23076923076923073,0.7181985232362834,0.9912642605354288,,
10,2,,0.128,0.15384615384615385,0.595100681983585,0.7732283485249176,,
11,8,,0.008000000000000007,0.07692307692307687,0.06722154475830686,0.39124356362925566,,
12,12,,0.0,0.0,-0.0,-0.0,,


Experiment #:,11
Rule:,0132333144111
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8245149324010144,2.0381596816459533,,
1,7,,0.848,0.8461538461538461,2.022624904646861,2.161978179679554,,
2,12,,0.84,0.7692307692307692,2.0174907221257508,2.1996877947313282,,
3,11,,0.8160000000000001,0.6923076923076923,1.992585617358623,2.161978179679554,,
4,8,,0.696,0.6153846153846154,1.8925680435502192,2.038159681645953,,
5,5,,0.552,0.5384615384615384,1.9013291939304997,1.9877733714879842,,
6,2,,0.504,0.46153846153846156,1.86896992660428,1.8810947601100747,,
7,4,,0.384,0.3846153846153846,1.7000156982647785,1.7004397181410922,,
8,3,,0.30400000000000005,0.3076923076923077,1.3418217818131115,1.3520301017579528,,
9,10,,0.256,0.23076923076923073,1.15117179954599,1.1451104143815827,,
10,1,,0.23199999999999998,0.15384615384615385,0.997093854473825,0.7732283485249176,,
11,6,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,,
12,9,,0.0,0.0,-0.0,-0.0,,


Experiment #:,12
Rule:,0222134134234
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.03870085583508,2.199687794731328,,
1,4,,0.872,0.8461538461538461,2.2579517031380187,2.199687794731328,,
2,6,,0.72,0.7692307692307692,2.20697621889939,2.199687794731328,,
3,2,,0.6719999999999999,0.6923076923076923,2.16898466204077,2.199687794731328,,
4,9,,0.5920000000000001,0.6153846153846154,1.916342162471213,2.075869296697727,,
5,1,,0.5680000000000001,0.5384615384615384,1.8782652831043898,1.9877733714879842,,
6,12,,0.56,0.46153846153846156,1.820578410088158,1.6691803368667308,,
7,3,,0.48,0.3846153846153846,1.6206672212295963,1.4885252948977485,,
8,5,,0.33599999999999997,0.3076923076923077,1.4077415017977275,1.3520301017579528,,
9,10,,0.28800000000000003,0.23076923076923073,1.1541236813986258,0.9912642605354287,,
10,7,,0.14400000000000002,0.15384615384615385,0.5946193440950123,0.6193821946787638,,
11,8,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,,
12,11,,0.0,0.0,-0.0,-0.0,,


Experiment #:,13
Rule:,0411321243123
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.981301073281294,2.199687794731328,,
1,1,,0.968,0.8461538461538461,2.048943402015965,2.199687794731328,,
2,2,,0.92,0.7692307692307692,2.1682669671951165,2.237397409783102,,
3,12,,0.912,0.6923076923076923,2.1785114557644256,2.199687794731328,,
